Word,2L Score,3 L Score,4L Score,f(Freq),AVG Val (Actual)
prime,1.1875014761106257,0.23620107654411093,0.0435659540137152,0.008,3.93
axiom,0.7086748069247302,0.07563178542103823,0.0030926448836896595,0.005,4.33
brave,0.955693063460948,0.2557248426238482,0.03563264757294608,0.007,4.5
avert,1.4348031458869652,0.592737888878752,0.0934516606158397,0.005,4.03
glyph,0.8018232918447841,0.2398503786150899,0.03522925910985612,0.005,4.06
there,2.1404784960204055,0.8667092418574946,0.25776522791448164,0.0095,3.59
baker,1.2882312652039394,0.20125900921448772,0.05956702971628345,0.007,4.72
snarl,0.881486030089039,0.16111668643371954,0.0057819013042893636,0.005,4.35
maple,1.158876738858317,0.15290575677401697,0.008471157724889067,0.005,3.95
inane,2.265841619234312,0.456801386734787,0.0190937205862579,0.005,4.15
valet,1.571644505325807,0.30672383906577866,0.03173322576307651,0.005,4.12
medal,1.4464939420419922,0.16768543016148163,0.013580744924028505,0.007,4.07
unite,1.9034977917385043,0.6444667457348783,0.1063600914347183,0.005,3.75
rainy,1.476937247585083,0.19651491652221514,0.050692483528304425,0.005,3.51
spell,0.9693441345268181,0.3865523218684427,0.032943391152346374,0.007,4.09
begin,1.1114758744479347,0.12690447951829215,0.0060508269463493344,0.008,3.98
stale,2.071042252190548,0.5820636803211386,0.06333198870512304,0.005,3.63
dream,1.0595167804255923,0.24769637806769454,0.030926448836896596,0.008,3.48
photo,1.1259063319241398,0.5136392664902837,0.13836224283985477,0.008,3.77
aloud,1.3310266644623414,0.2057294042514369,0.03375016807852629,0.005,3.56
inept,1.5204411799437898,0.602773469573944,0.0057819013042893636,0.005,4.01
piney,1.4874235374695923,0.6240306541373961,0.02460669624848729,0.005,4.55
aptly,0.6304527526510948,0.10300155095338018,0.0028237192416296895,0.005,4.12
waltz,0.7928485392409249,0.0743545296961956,0.0018824794944197927,0.005,4.63
libel,0.9947332372877353,0.11814615454794271,0.020976200080677694,0.005,4.49
sneak,0.8335419569684231,0.1674117325061582,0.004437273093989512,0.005,3.96
carry,1.0880470465978602,0.29504607243864606,0.01734570391286809,0.008,4.27
flout,0.7999811057839918,0.26840616732049993,0.009009009009009009,0.005,3.98
foggy,0.3336246191634586,0.026822370221695105,0.0036304961678096004,0.005,4.54
fault,0.4186958267400392,0.13739622297235654,0.015463224418448298,0.007,4
mummy,0.30254363383009375,0.03548946264027005,0.005109587199139438,0.005,5.53
spiel,0.6923549278477126,0.14460359456253993,0.004168347451929542,0.005,3.92
grove,0.9804681042016012,0.34513274336283184,0.024606696248487294,0.005,4.45
denim,1.3935429016792233,0.36967429979016514,0.017749092375958047,0.005,3.87
quirk,0.2837202711319997,0.15144603594562542,0.01774909237595805,0.005,4.19
exist,1.199877187595947,0.6274974911048262,0.016673389807718167,0.008,4.04
stein,2.069554332679908,0.38472767083295323,0.01680785262874815,0.005,3.72
spade,0.8000755768640325,0.1725207554055287,0.009009009009009009,0.005,3.86
catch,1.3373089912850427,0.322598303074537,0.052574963022724214,0.008,4.8
floor,0.9407193972745094,0.10336648116047806,0.010219174398278874,0.008,4.07
equal,0.827920927706006,0.21886689170696103,0.03509479628882614,0.007,4.24
ionic,2.045842091589712,1.4680229906030473,0.21446819954282637,0.005,4.86
valid,1.482085921447297,0.49083112854666544,0.030791986015866614,0.007,4.04
enjoy,0.6262251718192768,0.014141045525043335,0.00618528976737932,0.009000000000000001,4.64
howdy,0.3404265369263834,0.0207097892528054,0.00336157052574963,0.005,4.61
vigor,0.7473607142013651,0.06523127451874829,0.010488100040338847,0.005,4.42
dandy,1.0686804751895325,0.28199981753489645,0.010891488503428803,0.005,4.95
sloth,0.8551994520677357,0.20910500866709242,0.027161489848057014,0.005,3.54
marsh,1.0843862922462861,0.19669738162576408,0.01936264622831787,0.005,3.86
bough,0.47632318556481895,0.09944348143417572,0.04195240016135539,0.005,4.36
sting,2.3676342079780826,1.4775111759875923,0.25682398816727176,0.005,3.95
twine,1.3764200184218607,0.5770458899735424,0.021514051364797636,0.005,3.93
leave,1.088779197468175,0.178359638719095,0.024203307785397338,0.009000000000000001,4.26
scorn,1.0636498901773694,0.3579965331630326,0.05042355788624445,0.005,3.92
scald,1.2055454523983844,0.6210199799288386,0.028775043700416836,0.005,4.21
usurp,0.7663257835195201,0.09250980749931575,0.01290843081887858,0.005,4.12
soggy,0.3873550459365627,0.03612809050269136,0.0030926448836896595,0.005,4.3
brisk,1.2350440471410689,0.2758872365660068,0.011160414145488773,0.005,4
admit,0.8155215984506743,0.12161299151537269,0.019228183407287887,0.007,3.96
grate,2.0075104508632293,1.2851017242952285,0.1799112545381202,0.005,3.77
glory,1.010935027514702,0.24933856399963505,0.007933306440769127,0.007,3.83
saint,1.4953354904229943,0.40999908767448223,0.03415355654161624,0.007,3.62
recap,1.2891523582343354,0.30882218775659154,0.03213661422616647,0.005,4
alike,1.3156751139557403,0.628227351519022,0.1887858007260992,0.007,4.25
trice,1.7504546420726956,0.7547669008302164,0.20303885975527763,0.005,4.51
stick,1.9763349944498243,1.1005382720554695,0.28196853569987895,0.008,3.61
chute,1.177700101556411,0.09761883039868625,0.002823719241629689,0.005,3.55
parer,2.2686048983255,0.3965879025636347,0.03738066424633589,0.005,5.99
doubt,0.5225195437046835,0.05373597299516468,0.015059835955358343,0.008,3.61
thyme,0.7682624406603529,0.12863789800200712,0.029178432163506792,0.005,3.92
alpha,1.2191492879242343,0.2885685612626585,0.01842140648110797,0.007,4.24
booze,0.3034174913204695,0.036584253261563726,0.002689256420599704,0.005,4.87
tibia,1.3096289648331405,0.12371134020618557,0.020303885975527763,0.005,4.4
lofty,0.49127323398124745,0.015235836146337013,0.00336157052574963,0.005,4.35
theme,1.0548640797335915,0.5489462640270049,0.033884630899556276,0.007,3.77
class,1.0509435299119056,0.3452239759146063,0.05835686432701359,0.009000000000000001,4.36
leery,1.7862591814080915,0.1701487090593924,0.004840661557079467,0.005,4.31
taunt,1.3461656550388512,0.18958124258735515,0.015866612881538254,0.005,4.65
whoop,0.6421671665761319,0.0885868077730134,0.0060508269463493344,0.005,4.32
inter,2.9574643962117095,1.4889152449594016,0.5612478149791583,0.007,4.01
gully,0.8877447391417304,0.38144329896907214,0.04504504504504504,0.005,4.91
charm,1.1485321555938688,0.37022169510081193,0.08659405674331047,0.007,3.74
fungi,0.95144186485912,0.1578323145698385,0.012908430818878582,0.005,4.23
prize,0.9698637254670414,0.41383085484901017,0.05781901304289364,0.007,4.77
onset,1.4079969769254386,0.22324605419213572,0.03213661422616647,0.005,4.03
chief,0.7065964431638365,0.276708329531977,0.016673389807718167,0.009000000000000001,3.81
gauze,0.28891618053423396,0.011860231730681507,0.001344628210299852,0.005,4.94
ruder,1.4712453650126356,0.34832588267493836,0.013849670566088476,0.005,4.53
irony,1.3674452658180014,0.25052458717270326,0.021245125722737665,0.005,3.95
clown,0.4577123827968163,0.15363561718821275,0.006319752588409305,0.005,3.91
needy,0.9843414184832668,0.09159748198157103,0.009681323114158934,0.005,4.22
woven,0.9823102902623934,0.39439832132104735,0.01600107570256824,0.005,4.54
merit,2.2343591318107743,0.7476507617918073,0.11899959661153692,0.007,3.76
waste,1.5209371531140028,0.6316029559346775,0.09022455291112008,0.008,4.37
treat,1.7776150775843744,0.3992336465650944,0.07260992335619201,0.008,3.52
shrug,0.3719090243499209,0.036036857950916885,0.004706198736049483,0.005,4.18
twang,1.060272549065917,0.19879573031657694,0.005109587199139438,0.005,4.18
twice,0.9416404903049055,0.11175987592372957,0.001344628210299852,0.008,3.97
gruel,0.5529864670177842,0.03968616002189582,0.008336694903859083,0.005,4.25
poker,1.3485982853498972,0.15983943070887693,0.017749092375958047,0.005,4.51
khaki,0.33473465435393596,0.06541373962229724,0.002823719241629689,0.005,4.51
hunky,0.5381308896813963,0.04972174071708786,0.004571735915019496,0.005,4.73
label,1.0416853640679247,0.1598394307088769,0.019362646228317872,0.007,4.39
glean,1.546586051345032,0.22917617005747648,0.019093720586257898,0.005,4.04
cling,1.669799957488014,1.17662622023538,0.20707274438617723,0.005,4.31
patty,1.050258614581611,0.20764528783870084,0.009950248756218905,0.005,4.32
unfit,0.9981578139392079,0.11048262019888697,0.014253059029178432,0.005,4.16
smear,1.1612385158593326,0.15710245415564272,0.003764958988839586,0.005,4.39
alien,1.838407217590515,0.4734969437095155,0.023665456501277396,0.007,3.45
buggy,0.1657967454712926,0.031019067603320863,0.003227107704719645,0.005,4.82
rhyme,0.5212678018941451,0.06988413465924641,0.021110662901707676,0.005,4.1
youth,0.7498169622824213,0.17343308092327342,0.03482587064676618,0.008,4.42
coyly,0.7953284050919913,0.011586534075358089,0,0.005,5.35
quart,0.7878179542287617,0.31776297783048996,0.03401909372058626,0.005,4.29
cramp,0.9694149878368485,0.3048991880302892,0.022051902648917578,0.005,3.96
bluff,0.3647528400368437,0.05647294954839887,0.004302810272959526,0.005,4.36
upset,0.679979216362391,0.10446127178177174,0.0037649589888395854,0.007,3.95
stomp,1.274202309817907,0.4853571754401971,0.07973645287078122,0.005,4.05
motto,0.8509718712359179,0.12517106103457715,0.013849670566088478,0.005,4.5
cinch,1.482888925627642,0.34905574308913423,0.027699341132176952,0.005,4.96
elope,1.137172008218984,0.25681963324514184,0.03159876294204652,0.005,4.24
power,1.3178007132566543,0.10072073715901833,0.05391959123302407,0.009000000000000001,4.25
midge,0.7161852577879596,0.11057385275066142,0.015328761597418313,0.005,4.28
tryst,1.050825441061855,0.1705136392664903,0.019093720586257898,0.005,4.06
aphid,0.978909331380931,0.4939330353069975,0.10864595939222807,0.005,4.11
trite,1.9721074136180063,0.9060304716722928,0.09883017345703912,0.005,4.91
angry,1.225360761436905,0.19660614907398957,0.004033884630899556,0.007,3.97
flock,0.638553647764578,0.2131192409451692,0.03375016807852629,0.005,4.18
wacky,0.4657424246002692,0.11130371316485722,0.005109587199139438,0.005,4.25
roomy,0.9846012139533784,0.21266307818629687,0.01855586930213796,0.005,4.33
wedge,0.5934437070451808,0.07134385548763797,0.021245125722737665,0.005,4.66
liver,1.866323421742519,0.7415381808229176,0.05983595535834342,0.007,4.61
bland,1.4941782196924966,0.4598120609433446,0.08013984133387118,0.005,3.73
night,0.5424765593632649,0.2013502417662622,0.12088207610595669,0.009000000000000001,4.18
madam,0.7865189768782032,0.07900738983669373,0.009950248756218905,0.005,4.53
berth,1.5470111712052148,0.34458534805218505,0.025547935995697192,0.005,4.07
stead,1.5902553080938095,0.4606331539093148,0.03724620142530591,0.005,4.38
voice,1.0037079898915944,0.11267220144147432,0.008874546187979023,0.009000000000000001,4.09
agape,0.6813726647929903,0.10154183012498859,0.004033884630899556,0.005,4.48
fluff,0.2162679199829952,0.08384271508074082,0.0036304961678096004,0.005,4.98
field,0.5239602276753028,0.07782136666362557,0.022858679575097483,0.009000000000000001,4.08
sever,1.5696369948749438,0.47139859501870274,0.060239343821433367,0.005,4.71
lilac,1.4284263479842232,0.19542012590092145,0.0060508269463493344,0.005,4.31
egret,1.0210670508490587,0.2288112398503786,0.013984133387118462,0.005,4.49
pinto,1.7851491462176141,0.4899188030289207,0.014790910313298374,0.005,4.02
hutch,0.5095061524290876,0.09953471398595021,0.013042893639908563,0.005,4.79
gawky,0.15665666847736237,0.0098531155916431,0.002016942315449778,0.005,5.08
droll,1.1695047353628871,0.29641456071526323,0.030254134731746672,0.005,4.54
retro,1.7090526912448927,0.595839795639084,0.0890143875218502,0.005,4.05
rusty,1.0862520960770883,0.2143052641182374,0.0326744655102864,0.005,3.67
beady,0.5377766231312439,0.151172338290302,0.0065886782304692745,0.005,4.31
smite,1.491462176141329,0.4921996168232826,0.045851821971224956,0.005,4.21
brink,1.4661911622304622,0.3786150898640635,0.023665456501277396,0.005,4.07
awful,0.3208474055879644,0.15162850104917436,0.005647438483259378,0.007,4.26
gloat,1.101957913133842,0.11604780585712982,0.00954686029312895,0.005,4.19
input,1.0164852034670886,0.03475960222607426,0.0014790910313298372,0.007,4
loser,1.83309321933823,0.3454064410181553,0.038321903993545785,0.007,3.9
cacao,0.6599749651637892,0.09013776115317945,0.0028237192416296895,0.005,4.83
blown,0.5874211756925911,0.13292582793540736,0.01371520774505849,0.007,4.18
apron,1.6289175976004344,0.5452057294042514,0.026220250100847116,0.005,3.88
primo,1.1032568904844005,0.1884864519660615,0.02971628344762673,0.005,4.23
atone,2.215299591412579,0.6724751391296415,0.08296356057550087,0.005,3.53
donor,1.586358376042134,0.3028008393394763,0.016807852628748152,0.005,4.03
float,1.0638388323374506,0.1100264574400146,0.01263950517681861,0.005,3.76
goose,0.713681774166883,0.15673752394854487,0.01707677827080812,0.005,4.73
piety,0.6702014595781867,0.07845999452604689,0.008202232082829098,0.005,4.06
girth,0.6535036961810066,0.12042696834230453,0.007529917977679172,0.005,4.21
trait,1.3844264424553034,0.49238208192683147,0.04289363990856528,0.005,4.18
flood,0.6061028317706242,0.18228263844539733,0.023127605217157454,0.007,4.21
gloom,0.8043976287758909,0.12097436365295137,0.012505042355788625,0.005,4.46
depth,0.8230084315438936,0.12115682875650031,0.0024203307785397336,0.007,3.95
froth,1.0626107082969227,0.3083660249977192,0.029447357805566756,0.005,4.14
peach,1.110602016957559,0.23811696013137487,0.0345569450047062,0.005,3.52
showy,0.4815899482770837,0.0658699023811696,0.007529917977679172,0.005,4.42
creak,0.9789565669209513,0.30553781589271056,0.05069248352830442,0.005,4.31
manor,1.7378663706572826,0.47021257184563453,0.018959257765227916,0.005,4.08
atoll,1.5633074325122223,0.46464738618739165,0.02554793599569719,0.005,4
bayou,0.495595285893106,0.015874464008758325,0.001344628210299852,0.005,4.32
crept,0.909118821000921,0.2839157011221604,0.015866612881538254,0.005,4
tiara,2.1674027538319836,0.3300793723200438,0.008605620545919053,0.005,3.84
asset,1.1302283838359983,0.23446765806039593,0.03966653220384564,0.007,3.94
vouch,0.7239082685812805,0.06304169327616094,0.025144547532607232,0.005,4.82
album,0.8803523771285515,0.044795182921266316,0.024068844964367352,0.009000000000000001,4.09
hinge,1.5295104036276896,1.0664172976918165,0.11254538120209762,0.005,4.11
money,1.4388654023287122,0.4527871544567102,0.027430415490116985,0.009000000000000001,3.97
scrap,1.0119033560851185,0.41373962229723565,0.025951324458787145,0.005,3.94
gamer,1.583004652700692,0.28957211933217775,0.03738066424633589,0.005,4.52
glass,1.0702864835502233,0.3039868625125444,0.03401909372058626,0.008,4.37
scour,1.049904348031459,0.30462549037496583,0.03939760656178567,0.005,3.8
being,1.2937342056163057,0.8757412644831676,0.00645421540943929,0.009000000000000001,4.19
delve,0.8945702746746651,0.10382264391935042,0.009277934651068978,0.005,4.49
yield,0.4430693653905198,0.0447951829212663,0.017883555196988032,0.007,4.53
metal,1.5741716067168938,0.5854392847367942,0.12760521715745596,0.008,3.89
tipsy,0.9692968989867977,0.09396952832770733,0.004033884630899556,0.005,3.85
slung,0.9185895467749935,0.10509989964419304,0.007933306440769127,0.005,4.47
farce,0.8907914314730403,0.19341300976188303,0.013849670566088478,0.005,3.9
gecko,0.4805980019366572,0.03895629960770003,0.004706198736049483,0.005,4.35
shine,1.7240499752013414,0.7780312015327068,0.07045851821971225,0.007,3.73
canny,1.1079804444864316,0.2019888696286835,0.014118596208148447,0.005,4.72
midst,1.053281689142911,0.0723474135571572,0.004706198736049482,0.005,4.18
badge,0.45986159986774044,0.04890064775111759,0.004706198736049483,0.007,4.24
homer,1.8248978531447062,0.4797007572301797,0.06844157590426247,0.005,4.76
train,1.7791502326350346,0.5827023081835598,0.08377033750168078,0.008,3.1
hairy,0.5622918684017855,0.06404525134568013,0.01600107570256824,0.005,4.03
story,1.4876124796296732,0.6317854210382264,0.14616108645959391,0.009000000000000001,4.06
forgo,0.6770978484211521,0.27315026001277254,0.013311819281968536,0.005,4.77
larva,1.0020783637608937,0.26503056290484445,0.00618528976737932,0.005,4.75
trash,1.302425544980043,0.5367211020892254,0.025413473174667203,0.007,3.46
zesty,1.2235658109161331,0.26357084207645287,0.004302810272959526,0.005,4.79
shown,0.49219432701164356,0.10008210929659703,0.007395455156649186,0.008,3.99
heist,1.4438015162608346,0.6410911413192227,0.03106091165792658,0.005,3.7
askew,0.411539642426962,0.04479518292126631,0.00981578593518892,0.005,4.63
inert,2.438652842398621,0.757047714624578,0.041817937340325406,0.005,4.02
olive,1.1591365343284288,0.5557887054100903,0.02137958854376765,0.007,4.06
plant,1.6486148177889044,0.8691725207554055,0.11469678633857738,0.008,3.37
oxide,0.6417892822559694,0.27205546939147884,0.023127605217157454,0.005,4.76
cargo,0.9839635341631042,0.2561810053827206,0.010353637219308862,0.007,4.27
foyer,1.1239460570132969,0.02180457987409908,0.0024203307785397336,0.005,5.25
flair,0.6554639710918495,0.12799927013958579,0.00591636412531935,0.005,3.84
ample,0.9474504617274035,0.26201988869628684,0.038052978351485814,0.005,4.23
cheek,0.7072341229541107,0.22789891433263387,0.01573215006050827,0.005,4.24
shame,0.8593797973595334,0.2322780768178086,0.01963157187037784,0.007,4.19
mince,1.5126236980704282,0.5497673569929751,0.018959257765227912,0.005,4.11
chunk,0.8404147280413784,0.07307727397135298,0.0057819013042893636,0.005,3.91
royal,1.238114357242389,0.04023355533254265,0.013580744924028505,0.008,4.03
squad,0.3081646630925108,0.195328893349147,0.06736587333602259,0.007,4.31
black,0.9875534352046479,0.2743362831858407,0.03711173860427592,0.009000000000000001,3.83
stair,1.0580524786849625,0.3299881397682693,0.017480166733898076,0.005,3.42
scare,1.577596183368366,0.37095155551500775,0.033212316794406345,0.007,4.09
foray,1.1486502444439197,0.40014597208283914,0.007664380798709157,0.005,4.67
comma,1.0397487069270919,0.2739713529787428,0.07785397337636143,0.005,4.63
natal,1.9416641080749155,0.5556062403065414,0.033346779615436334,0.005,4.57
shawl,0.42904041000448734,0.10126813246966518,0.006723141051499261,0.005,4.45
fewer,1.160270187288916,0.06641729769181644,0.0063197525884093044,0.007,4.88
trope,1.3905434448879337,0.6507617918073167,0.15664918649993276,0.005,3.62
snout,0.7595474835266054,0.22543563543472311,0.004571735915019497,0.005,4.47
lowly,0.7078245672043646,0.08949913329075815,0.0063197525884093044,0.005,4.95
stove,1.22002314541461,0.47705501322872,0.006992066693559231,0.005,4.57
shall,1.3246971020996199,0.6629869537450963,0.033615705257496305,0.009000000000000001,4.47
found,1.0740889445218582,0.39786515828847735,0.0699206669355923,0.009000000000000001,4.76
nymph,0.4876360973996835,0.1191497126174619,0.038590829635605756,0.005,5.84
epoxy,0.39167709784842114,0.0702490648663443,0.0010757025682398816,0.005,4.61
depot,0.8792659597080843,0.11860231730681507,0.01263950517681861,0.005,3.9
chest,1.61155853664297,0.44913785238573123,0.022993142396127472,0.007,3.65
purge,0.4999645733449848,0.12006203813520663,0.020572811617587734,0.005,4.25
slosh,0.7893294915094117,0.12553599124167503,0.002689256420599704,0.005,4.32
their,0.7463687678609385,0.36283185840707965,0.022724216754067498,0.0095,3.47
renew,1.7008100895113483,0.5013228720007299,0.027833803953206938,0.005,4.27
allow,1.2984341418483265,0.6005838883313566,0.1046120747613285,0.009000000000000001,4.36
saute,1.0439290522188895,0.168141592920354,0.009277934651068978,0.005,3.84
movie,0.48673862213929764,0.05327981023629231,0.003899421809869571,0.009000000000000001,4.32
cater,2.6927800477078954,1.7453699479974456,0.16417910447761194,0.005,4.68
tease,1.43699959849791,0.17927196423683972,0.025682398816727174,0.005,3.72
smelt,0.7768829267140596,0.12599215400054742,0.007933306440769127,0.005,4.31
focus,0.7380553128173639,0.07873369218137032,0.004033884630899556,0.01,4.09
today,0.6744290404100045,0.07453699479974454,0.00309264488368966,0.009000000000000001,3.91
watch,1.0522661250324745,0.13438554876379893,0.053516202769934115,0.009000000000000001,4.96
lapse,0.890602489312959,0.11805492199616822,0.011294876966518756,0.005,3.89
month,1.6615337379844597,0.51601131283642,0.0227242167540675,0.009000000000000001,4.02
sweet,0.4472260929123072,0.09552048170787336,0.021110662901707676,0.008,4.33
hoard,0.8907678137030302,0.22151263570842075,0.027699341132176952,0.005,3.89
cloth,0.8788644576179118,0.242769820271873,0.03966653220384564,0.007,3.86
brine,1.9463404265369264,0.8274792445944712,0.08592174263816055,0.005,4.13
ahead,0.68893035119624,0.24778761061946902,0.07072744386177221,0.009000000000000001,4.27
mourn,0.7885501050990765,0.16613447678131557,0.01707677827080812,0.005,3.9
nasty,1.184218606079214,0.3876471124897363,0.03738066424633589,0.007,4.02
rupee,0.5237949032852318,0.14861782684061672,0.004168347451929542,0.005,4.38
choke,0.6992749344606882,0.21120335735790532,0.006857603872529245,0.005,3.84
chant,1.6667060296166836,0.8072256181005383,0.0754336425978217,0.005,3.79
spill,0.8082473252875464,0.3450415108110574,0.025413473174667203,0.005,4.09
vivid,0.4750950615242909,0.10081196971079281,0.020976200080677694,0.005,4.7
bloke,0.6550152334616566,0.06705592555423776,0.0010757025682398816,0.005,4.15
trove,1.2016249025766987,0.5814250524587172,0.03213661422616647,0.005,4.68
thorn,1.0610755532462626,0.40543746008575854,0.05781901304289364,0.005,3.47
other,1.786920478968376,0.7327798558525682,0.30052440500201694,0.0095,3.96
tacit,1.206065043338608,0.2335553325426512,0.020303885975527763,0.005,4.35
swill,0.5849885453815451,0.23711340206185566,0.01317735646093855,0.005,5.08
dodge,0.45901136014737487,0.05920992610163305,0.008067769261799113,0.005,4.66
shake,0.5582532297300489,0.16759419760970715,0.015866612881538254,0.007,4.62
caulk,0.6828842020736402,0.05984855396405438,0.009681323114158936,0.005,4.34
aroma,1.643844028246853,0.48517471033664816,0.09251042086862982,0.005,4.1
cynic,1.08799981105784,0.2634796095246784,0.007529917977679171,0.005,4.1
robin,1.5285184572872628,0.1640361280905027,0.026220250100847116,0.007,3.96
ultra,1.1783141635766752,0.5211203357357905,0.06118058356864327,0.007,4.07
ulcer,1.4970359698637254,0.1391296414560715,0.0055129756622293935,0.005,4.4
pause,0.8979948513261378,0.1039138764711249,0.010757025682398818,0.008,4.02
humor,0.8537587680971163,0.18657056837879757,0.013715207745058492,0.007,4.18
frame,1.064925249757918,0.2736976553234194,0.03132983729998655,0.007,4.2
elder,1.6571644505325807,0.3558069519204452,0.035498184751916094,0.007,4.71
skill,0.5954275997260339,0.25453881945078005,0.01317735646093855,0.007,4.42
aloft,1.0228147658298106,0.11668643371955115,0.00336157052574963,0.005,4.24
pleat,1.547058406745235,0.3143873734148344,0.02985074626865672,0.005,3.92
shard,0.9829715878226777,0.39093148435361735,0.029850746268656716,0.005,4.3
moist,1.3906615337379844,0.6302344676580605,0.02191743982788759,0.005,3.7
those,1.0560685860041095,0.35644557978286656,0.021648514185827618,0.009000000000000001,3.67
light,0.6755154578304717,0.24696651765349878,0.13876563130294473,0.009000000000000001,4.06
wrung,0.8638199381214425,0.10135936502143965,0.0036304961678096004,0.005,4.35
could,0.9487494390779623,0.122251619377794,0.00618528976737932,0.0095,3.97
perky,1.3023310739000025,0.4883678496487547,0.002554793599569719,0.005,4.45
mount,1.4351574124371178,0.3320864884590822,0.10326744655102864,0.007,3.82
whack,0.6254221676389314,0.13356445579782866,0.013984133387118462,0.005,4.17
sugar,0.807893058737394,0.07736520390475321,0.006992066693559231,0.007,4
knoll,0.8592144729694622,0.1574673843627406,0.001344628210299852,0.005,4.71
crimp,0.9013958102076003,0.24769637806769457,0.025144547532607232,0.005,3.96
wince,1.2993079993387024,0.39220874007845996,0.018959257765227912,0.005,4.46
prick,1.4870220353794195,0.477237478332269,0.03496033346779616,0.005,3.83
robot,0.9107248293616116,0.10108566736611622,0.016807852628748152,0.007,3.95
point,1.5676058666540706,0.3495119058480065,0.03684281296221595,0.009000000000000001,3.47
proxy,0.8040197444557284,0.4147431803667549,0.014253059029178432,0.005,4.87
shire,1.0904088235988758,0.2559073077273971,0.013042893639908565,0.005,3.93
solar,1.3344984766538341,0.40251801842897544,0.048675541212854646,0.007,3.82
panic,1.8458468151437142,0.6055104461271781,0.07153422078795213,0.007,3.77
tangy,1.3496138494603338,0.32451418666180093,0.025144547532607236,0.005,4.37
abbey,0.38537115325570964,0.052093787063224165,0.007798843619739141,0.005,4.56
favor,0.6018516331687962,0.048353252440470756,0.014790910313298374,0.007,4.57
drink,1.452492855624572,0.3723200437916249,0.02406884496436735,0.008,3.77
query,1.2765877045889327,0.21366663625581608,0.015597687239478283,0.005,4.43
gorge,0.7721357549420184,0.10546482985129094,0.015597687239478285,0.005,4.64
crank,1.3835525849649277,0.44640087583249705,0.04074223477208552,0.005,4.22
slump,0.40088802815238184,0.12453243317215582,0.011563802608578727,0.005,4.13
